"","Income","Kidhome","Teenhome","Recency","Wines","Fruits","Meat","Fish","Sweets","Gold","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","AcceptedCmp6","Age","NumberofDayEnrolled","NumOfferAccepted2","TotalSpentAmount","FamilySize","IsParent","Education_Master","Education_PhD","Education_Undergraduate","Marital_Status_Married","Marital_Status_Other","Marital_Status_Single","Marital_Status_Together"
"14",82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,75,729277,2,1315,0,0,0,1,0,0,0,1,0
"15",41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,41,729247,0,96,3,1,0,0,0,1,0,0,0
"16",37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,75,726813,0,317,1,0,0,0,0,0,0,0,1
"17",76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,72,728061,1,1782,2,1,1,0,0,1,0,0,0
"18",33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,36,736948,0,133,1,1,0,0,1,0,0,1,0
"19",37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,39,735213,0,316,1,0,0,0,0,1,0,0,0
"20",58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,72,729613,1,972,2,1,0,1,0,1,0,0,0
"21",65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,67,734330,0,544,2,1,0,1,0,1,0,0,0
"22",40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,70,731714,0,444,2,1,0,0,0,0,0,0,1
"23",18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,52,737617,0,75,0,0,0,0,0,0,0,1,0
"24",53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,45,728366,0,257,3,1,0,0,0,1,0,0,0
"25",38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,32,726905,0,131,2,1,0,0,0,1,0,0,0
"26",84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,56,730008,1,1672,1,0,0,1,0,1,0,0,0
"27",10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,32,730192,0,30,0,0,1,0,0,0,0,0,0
"28",38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,58,734210,0,318,1,0,1,0,0,0,0,0,1
"29",40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,51,734422,1,120,2,1,0,0,0,0,0,0,1
"30",46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,69,727482,0,302,2,1,0,1,0,0,0,0,0
"31",68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,75,731012,0,1196,1,0,1,0,0,1,0,0,0
"32",49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,70,727543,0,65,2,1,1,0,0,0,0,1,0
"33",67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,51,726691,0,913,2,1,0,1,0,1,0,0,0
"34",23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,45,737374,0,81,2,1,0,0,1,1,0,0,0
"35",42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,48,734299,0,67,1,1,0,0,0,0,1,0,0
"36",48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,78,737951,1,902,0,0,0,1,0,0,0,0,0
"37",80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,41,727665,0,1395,2,1,0,0,0,1,0,0,0
"38",20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,36,733905,0,53,2,1,1,0,0,1,0,0,0
"39",21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,64,729247,0,22,2,1,0,0,0,0,0,0,1
"40",7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,46,737344,0,31,2,1,1,0,0,1,0,0,0
"41",79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,45,727969,0,984,0,0,0,0,0,0,0,1,0
"42",7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,25,734756,0,122,1,0,0,0,1,1,0,0,0
"43",41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,53,729461,0,55,2,1,0,0,0,0,0,0,1
"44",72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,67,735121,0,1319,3,1,0,1,0,1,0,0,0
"45",65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,64,733844,0,507,1,1,0,0,0,0,1,0,0
"46",79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,57,734118,0,1693,1,0,1,0,0,1,0,0,0
"47",35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,44,737617,0,72,1,1,0,0,0,0,0,1,0
"48",82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,44,735640,2,1617,0,0,0,0,0,0,0,0,0
"49",66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,43,733813,0,606,3,1,0,0,0,1,0,0,0
"50",82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,66,731104,1,1957,1,0,1,0,0,0,0,0,1
"51",70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,55,737527,0,1093,0,0,0,0,0,0,0,0,0
"52",27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,33,728030,0,29,1,1,0,0,0,0,0,1,0
"53",55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,53,737193,0,518,2,1,0,1,0,1,0,0,0
"54",75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,39,736705,2,1438,0,0,1,0,0,0,0,1,0
"55",66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,46,735548,0,612,3,1,0,0,0,0,0,0,1
"56",61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,69,731742,0,884,1,1,0,0,0,0,0,1,0
"57",67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,70,734179,0,606,1,1,0,1,0,0,1,0,0
"58",70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,73,735822,0,1076,1,0,0,0,0,0,0,0,1
"59",25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,50,730557,0,34,2,1,0,0,0,1,0,0,0
"60",32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,54,734210,0,11,3,1,0,0,0,0,0,0,1
"61",88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,42,731349,2,1274,1,1,0,0,1,0,0,1,0
"62",69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,63,728243,0,653,2,1,0,0,0,0,0,0,1
"63",74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,51,735335,0,1562,4,1,0,0,0,0,0,0,1
"64",66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,67,734087,0,1253,1,0,1,0,0,1,0,0,0
"65",65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,62,732079,0,863,2,1,0,0,0,1,0,0,0
"66",60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,46,736431,1,661,3,1,0,1,0,1,0,0,0
"67",28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,69,727300,0,65,1,0,0,0,0,1,0,0,0
"68",40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,44,731074,0,13,1,1,0,0,0,0,0,0,0
"69",75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,49,728274,0,1890,1,0,1,0,0,1,0,0,0
"70",75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,45,733691,1,2209,0,0,0,0,0,0,0,1,0
"71",26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,45,736643,0,18,1,0,0,0,1,0,0,0,1
"72",56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,56,737617,1,692,1,0,0,0,0,0,0,0,1
"73",29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,36,727543,0,165,1,1,0,0,0,0,0,1,0
"74",26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,52,729796,0,16,2,1,0,0,0,1,0,0,0
"75",23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,48,737071,0,79,2,1,0,0,1,1,0,0,0
"76",38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,58,734210,0,318,1,0,1,0,0,0,0,0,1
"77",81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,34,729185,0,778,0,0,0,0,0,0,0,0,0
"78",29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,61,734118,0,56,3,1,0,0,0,1,0,0,0
"79",36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,51,732322,1,151,3,1,1,0,0,1,0,0,0
"80",50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,64,728000,2,372,1,1,0,0,0,0,0,1,0
"81",79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48,733844,1,1366,1,0,0,0,0,1,0,0,0
"82",54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,54,730677,0,194,2,1,0,0,0,0,0,0,1
"83",42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,49,729888,0,32,1,1,1,0,0,0,0,1,0
"84",23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,51,729461,0,43,2,1,0,1,0,1,0,0,0
"85",30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38,730192,0,45,2,1,0,0,0,1,0,0,0
"86",47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,61,730008,1,606,1,1,0,0,0,0,1,0,0
"87",51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,49,734240,0,63,2,1,0,0,0,0,0,0,0
"88",78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,70,737648,1,978,1,0,0,0,1,1,0,0,0
"89",50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,38,730891,0,410,1,0,0,1,0,1,0,0,0
"90",47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,61,729766,0,72,1,1,0,0,1,0,0,1,0
"91",34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,62,727331,0,55,1,1,0,1,0,0,0,1,0
"92",85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,42,730952,0,1169,2,1,0,0,0,0,0,0,1
"93",65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,76,732018,0,1120,1,0,0,1,0,1,0,0,0
"94",87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,62,735305,0,1097,1,0,0,0,0,1,0,0,0
"95",24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,42,734361,0,29,2,1,0,0,1,0,0,0,1
"96",49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,57,729338,0,187,3,1,0,0,0,1,0,0,0
"97",52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,52,737586,0,910,3,1,0,0,0,1,0,0,0
"98",38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,43,731074,0,145,1,1,0,0,0,0,0,1,0
"99",89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,61,735457,0,850,1,0,1,0,0,1,0,0,0
"100",77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,42,737313,0,969,2,1,0,0,0,0,0,0,1
"101",68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,30,734391,1,1820,0,0,0,1,0,0,0,1,0
"102",57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,58,729065,1,608,2,1,1,0,0,0,0,0,1
"103",86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,30,737617,2,730,0,0,0,0,0,0,0,1,0
"104",43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,41,733630,0,551,2,1,0,1,0,1,0,0,0
"105",50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,59,734452,0,114,2,1,0,0,0,0,0,1,0
"106",90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,51,729582,2,1724,1,0,0,0,0,1,0,0,0
"107",36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,43,731377,0,577,2,1,0,0,1,1,0,0,0
"108",30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,54,734149,0,81,3,1,0,0,1,0,0,0,1
"109",21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,52,732930,0,33,2,1,0,0,0,0,0,0,1
"110",56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,68,730891,0,660,2,1,1,0,0,0,0,0,1
"111",32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,54,729551,0,80,1,1,1,0,0,0,0,1,0
"112",19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,36,736643,0,30,3,1,1,0,0,1,0,0,0
"113",30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,45,730222,0,43,1,1,0,0,0,0,0,0,0
"114",101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,38,733905,3,1135,0,0,0,0,0,0,0,1,0
"115",71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,56,731742,0,559,1,0,0,0,1,0,0,0,1
"116",79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,37,730587,0,1923,0,0,0,0,0,0,0,1,0
"117",54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,68,735274,0,90,3,1,1,0,0,1,0,0,0
"118",77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,65,734575,0,661,3,1,0,1,0,0,0,0,1
"119",62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,69,727147,0,463,2,1,0,0,0,1,0,0,0
"120",61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,63,734636,0,632,2,1,1,0,0,0,1,0,0
"121",73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,52,734664,0,725,1,0,0,0,0,1,0,0,0
"122",41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,57,733022,0,279,3,1,0,1,0,1,0,0,0
"123",62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,54,732079,1,1482,1,0,0,1,0,0,0,0,1
"124",9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,45,735213,0,29,1,1,0,0,1,0,0,0,0
"125",33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,62,735610,0,106,4,1,0,1,0,1,0,0,0
"126",35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,48,731288,1,49,2,1,0,1,0,0,1,0,0
"127",36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,56,727939,0,38,2,1,0,1,0,0,0,0,0
"128",92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,29,731135,0,2077,0,0,1,0,0,0,0,1,0
"129",65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,45,732930,0,1053,2,1,1,0,0,0,0,0,1
"130",86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,59,731318,0,1385,1,0,0,0,0,1,0,0,0
"131",68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,47,727908,0,871,1,1,0,1,0,0,0,1,0
"132",41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,33,731349,0,312,2,1,0,0,0,0,0,0,1
"133",59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,45,731500,0,877,3,1,0,0,0,1,0,0,0
"134",23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,46,727847,0,68,2,1,0,0,0,1,0,0,0
"135",38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,40,727908,0,22,2,1,0,0,0,0,0,0,1
"136",35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,48,730100,0,211,4,1,0,0,1,1,0,0,0
"137",49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,55,730526,0,127,1,0,1,0,0,1,0,0,0
"138",59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,68,729491,0,459,3,1,1,0,0,1,0,0,0
"139",65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,52,735732,1,460,2,1,0,0,0,1,0,0,0
"140",46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,49,732900,0,429,2,1,0,0,1,0,0,0,1
"141",34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,33,733844,0,89,1,1,0,0,0,0,1,0,0
"142",61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,69,734787,0,1021,2,1,0,1,0,0,0,0,1
"143",69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,72,731377,2,1381,1,0,0,0,0,0,0,0,1
"144",49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,63,735244,0,306,1,1,0,0,0,0,0,1,0
"145",60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,43,733721,0,18,3,1,0,0,0,0,0,1,0
"146",55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,44,731865,0,162,2,1,0,0,0,0,0,0,1
"147",80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,66,730830,0,1231,0,0,0,0,0,0,0,1,0
"148",30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,63,737801,0,13,3,1,1,0,0,0,0,1,0
"149",70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,76,736217,0,1706,1,0,0,1,0,1,0,0,0
"150",23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,37,736521,0,121,2,1,0,0,0,1,0,0,0
"151",74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,46,737862,0,1293,0,0,0,1,0,0,0,0,0
"152",43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,55,733295,0,88,4,1,0,0,0,0,0,0,1
"153",62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,68,731469,1,421,0,0,0,0,0,0,0,0,0
"154",52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,62,727908,1,259,0,0,0,0,0,0,0,0,0
"155",66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,33,737313,0,1117,0,0,0,0,0,0,0,1,0
"156",26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,64,729185,0,89,3,1,0,0,0,0,0,0,1
"157",33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,56,730587,0,36,3,1,0,0,0,0,0,0,1
"158",28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,39,733418,0,57,2,1,0,0,0,1,0,0,0
"159",50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,51,730587,0,148,3,1,0,0,0,1,0,0,0
"160",53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,62,727390,0,93,3,1,0,1,0,0,0,0,1
"161",52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,54,736796,1,119,1,1,0,0,0,0,0,1,0
"162",80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,46,733721,0,1835,2,1,0,1,0,1,0,0,0
"163",83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,73,732169,2,1318,1,0,0,1,0,1,0,0,0
"164",38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,51,729827,0,45,3,1,0,1,0,1,0,0,0
"165",38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,62,729430,0,10,4,1,0,0,0,0,0,0,1
"166",78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,70,737648,1,978,1,0,0,0,1,1,0,0,0
"167",51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,45,734210,0,191,2,1,0,1,0,1,0,0,0
"168",16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,33,734575,0,57,2,1,0,0,1,1,0,0,0
"169",66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,75,727877,0,1033,1,0,1,0,0,1,0,0,0
"170",30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,37,730312,0,66,2,1,1,0,0,1,0,0,0
"171",28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,60,732718,0,43,1,0,0,0,1,1,0,0,0
"172",25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,38,736187,0,50,2,1,0,0,0,1,0,0,0
"173",32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,51,735366,0,39,1,1,0,1,0,0,0,1,0
"174",61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,55,737405,0,608,2,1,0,0,0,1,0,0,0
"175",74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,45,731349,0,1581,1,0,0,0,0,1,0,0,0
"176",45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,57,729916,0,68,3,1,0,1,0,1,0,0,0
"177",24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,43,734817,1,80,2,1,0,0,1,0,0,0,1
"178",66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,32,732018,0,1282,1,0,0,1,0,0,0,0,1
